Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
DLR^G,"Digital Realty Trust, Inc.",25.4685,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dlr^g
DLR^H,"Digital Realty Trust, Inc.",26.77,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dlr^h
DLR^I,"Digital Realty Trust, Inc.",27.171,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dlr^i
DLR^J,"Digital Realty Trust, Inc.",25.05,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dlr^j
APPS,"Digital Turbine, Inc.",1.57,$104.58M,n/a,Miscellaneous,Multi-Sector Companies,http://www.nasdaq.com/symbol/apps
DDS,"Dillard&#39;s, Inc.",51.49,$1.49B,n/a,Consumer Services,Department/Specialty Retail Stores,http://www.nasdaq.com/symbol/dds
DDT,"Dillard&#39;s, Inc.",25.6058,n/a,n/a,Consumer Services,Department/Specialty Retail Stores,http://www.nasdaq.com/symbol/ddt
DCOM,"Dime Community Bancshares, Inc.",21.8,$815.82M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/dcom
DMTX,"Dimension Therapeutics, Inc.",5.975,$150.62M,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/dmtx
DIN,"DineEquity, Inc",47.51,$855.12M,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/din
DIOD,Diodes Incorporated,33.63,$1.65B,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/diod
DPLO,"Diplomat Pharmacy, Inc.",20.76,$1.42B,2014,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/dplo
DFS,Discover Financial Services,66.9,$24.49B,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/dfs
DISCA,"Discovery Communications, Inc.",19.16,$7.26B,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/disca
DISCB,"Discovery Communications, Inc.",23.55,$8.93B,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/discb
DISCK,"Discovery Communications, Inc.",18.09,$6.86B,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/disck
DISH,DISH Network Corporation,48.77,$22.73B,1995,Consumer Services,Television Services,http://www.nasdaq.com/symbol/dish
DVCR,Diversicare Healthcare Services Inc.,11.7815,$76.09M,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/dvcr
SAUC,"Diversified Restaurant Holdings, Inc.",1.62,$43.21M,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/sauc
DNI,Dividend and Income Fund,13.145,$140.32M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dni
DLHC,DLH Holdings Corp.,6.14,$71.22M,n/a,Technology,Professional Services,http://www.nasdaq.com/symbol/dlhc
BOOM,DMC Global Inc.,21.55,$318.28M,n/a,Capital Goods,Industrial Specialties,http://www.nasdaq.com/symbol/boom
DNBF,DNB Financial Corp,32.9,$140.24M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/dnbf
DSS,"Document Security Systems, Inc.",0.66,$9.49M,n/a,Consumer Durables,Containers/Packaging,http://www.nasdaq.com/symbol/dss
DLB,Dolby Laboratories,58.35,$5.95B,2005,Miscellaneous,Multi-Sector Companies,http://www.nasdaq.com/symbol/dlb
DG,Dollar General Corporation,81.23,$22.2B,2009,Consumer Services,Department/Specialty Retail Stores,http://www.nasdaq.com/symbol/dg
DLTR,"Dollar Tree, Inc.",91.12,$21.58B,1995,Consumer Services,Department/Specialty Retail Stores,http://www.nasdaq.com/symbol/dltr
DM,"Dominion Energy Midstream Partners, LP",32.2,$3.19B,2014,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/dm
D,"Dominion Energy, Inc.",80.49,$51.72B,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/d
DCUD,"Dominion Energy, Inc.",52.01,n/a,2016,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/dcud
DRUA,"Dominion Energy, Inc.",25.42,n/a,2016,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/drua
DPZ,Domino&#39;s Pizza Inc,177.25,$7.75B,2004,Consumer Non-Durables,Food Distributors,http://www.nasdaq.com/symbol/dpz
UFS,Domtar Corporation,47.37,$3.08B,n/a,Basic Industries,Paper,http://www.nasdaq.com/symbol/ufs
DCI,"Donaldson Company, Inc.",47.61,$6.18B,n/a,Capital Goods,Pollution Control Equipment,http://www.nasdaq.com/symbol/dci
DGICA,"Donegal Group, Inc.",17.53,$478.96M,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/dgica
DGICB,"Donegal Group, Inc.",15.6,$426.23M,1986,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/dgicb
DFIN,"Donnelley Financial Solutions, Inc.",21.12,$711.74M,2016,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/dfin
DMLP,"Dorchester Minerals, L.P.",14.75,$476.13M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/dmlp
LPG,Dorian LPG Ltd.,7.15,$394M,2014,Transportation,Marine Transportation,http://www.nasdaq.com/symbol/lpg
DORM,"Dorman Products, Inc.",68.92,$2.35B,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/dorm
EAGL,Double Eagle Acquisition Corp.,10.075,$626.71M,2015,Finance,Business Services,http://www.nasdaq.com/symbol/eagl
EAGLU,Double Eagle Acquisition Corp.,10.69,n/a,2015,Finance,Business Services,http://www.nasdaq.com/symbol/eaglu
EAGLW,Double Eagle Acquisition Corp.,0.7,n/a,2015,Finance,Business Services,http://www.nasdaq.com/symbol/eaglw
DSL,DoubleLine Income Solutions Fund,20.89,$2.12B,2013,n/a,n/a,http://www.nasdaq.com/symbol/dsl
DBL,DoubleLine Opportunistic Credit Fund,23.14,$343.87M,2012,n/a,n/a,http://www.nasdaq.com/symbol/dbl
PLOW,"Douglas Dynamics, Inc.",41.6,$939.78M,2010,Capital Goods,Construction/Ag Equipment/Trucks,http://www.nasdaq.com/symbol/plow
DEI,"Douglas Emmett, Inc.",39.89,$6.5B,2006,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/dei
DOVA,"Dova Pharmaceuticals, Inc.",24.99,$641.05M,2017,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/dova
DOV,Dover Corporation,94.54,$14.73B,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/dov
DDE,Dover Downs Gaming & Entertainment Inc,0.9906,$32.84M,n/a,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/dde
DVD,"Dover Motorsports, Inc.",2.05,$75.63M,1996,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/dvd
DWDP,DowDuPont Inc.,73.32,$171.27B,2017,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/dwdp
DPS,"Dr Pepper Snapple Group, Inc",85.89,$15.51B,n/a,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/dps
RDY,Dr. Reddy&#39;s Laboratories Ltd,35.67,$5.91B,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/rdy
LYL,Dragon Victory International Limited,5.44,$63.47M,2017,Finance,Finance/Investors Services,http://www.nasdaq.com/symbol/lyl
DOTA,"Draper Oakwood Technology Acquisition, Inc.",9.8,n/a,2017,Finance,Business Services,http://www.nasdaq.com/symbol/dota
DOTAR,"Draper Oakwood Technology Acquisition, Inc.",0.4,n/a,2017,Finance,Business Services,http://www.nasdaq.com/symbol/dotar
DOTAU,"Draper Oakwood Technology Acquisition, Inc.",10.42,n/a,2017,Finance,Business Services,http://www.nasdaq.com/symbol/dotau
DOTAW,"Draper Oakwood Technology Acquisition, Inc.",0.6,n/a,2017,Finance,Business Services,http://www.nasdaq.com/symbol/dotaw
DRD,DRDGOLD Limited,3.39,$146.25M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/drd
DCF,Dreyfus Alcentra,9.96,n/a,2017,n/a,n/a,http://www.nasdaq.com/symbol/dcf
DHF,Dreyfus High Yield Strategies Fund,3.49,$253.75M,1998,n/a,n/a,http://www.nasdaq.com/symbol/dhf
DMB,"Dreyfus Municipal Bond Infrastructure Fund, Inc.",12.95,$238.05M,2013,n/a,n/a,http://www.nasdaq.com/symbol/dmb
DMF,"Dreyfus Municipal Income, Inc.",9,$186.72M,1988,n/a,n/a,http://www.nasdaq.com/symbol/dmf
DSM,"Dreyfus Strategic Municipal Bond Fund, Inc.",8.4,$413.65M,1989,n/a,n/a,http://www.nasdaq.com/symbol/dsm
LEO,"Dreyfus Strategic Municipals, Inc.",8.64,$535.59M,1987,n/a,n/a,http://www.nasdaq.com/symbol/leo
DRQ,"Dril-Quip, Inc.",43,$1.63B,1997,Energy,Metal Fabrications,http://www.nasdaq.com/symbol/drq
DS,Drive Shack Inc.,3.61,$241.63M,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/ds
DS^B,Drive Shack Inc.,25.8485,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ds^b
DS^C,Drive Shack Inc.,25.496,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ds^c
DS^D,Drive Shack Inc.,25.2199,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ds^d
DRYS,DryShips Inc.,3.89,$405.63M,2005,Transportation,Marine Transportation,http://www.nasdaq.com/symbol/drys
DSPG,"DSP Group, Inc.",13.15,$292.58M,1994,Technology,Semiconductors,http://www.nasdaq.com/symbol/dspg
DST,"DST Systems, Inc.",59.18,$3.58B,1995,Technology,EDP Services,http://www.nasdaq.com/symbol/dst
DSW,DSW Inc.,18.6,$1.49B,2005,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/dsw
DTE,DTE Energy Company,110.28,$19.78B,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/dte
DTJ,DTE Energy Company,25.91,n/a,2016,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/dtj
DTQ,DTE Energy Company,25.264,n/a,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/dtq
DTV,DTE Energy Company,55.18,n/a,2016,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/dtv
DTY,DTE Energy Company,27.22,n/a,2016,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/dty
DCO,Ducommun Incorporated,32.66,$369.69M,n/a,Capital Goods,Military/Government/Technical,http://www.nasdaq.com/symbol/dco
DPG,Duff & Phelps Global Utility Income Fund Inc.,15.85,$601.19M,2011,n/a,n/a,http://www.nasdaq.com/symbol/dpg
DSE,Duff & Phelps Select Energy MLP Fund Inc.,5.89,$153.78M,2014,n/a,n/a,http://www.nasdaq.com/symbol/dse
DNP,"Duff & Phelps Utilities Income, Inc.",11.23,$3.21B,1987,n/a,n/a,http://www.nasdaq.com/symbol/dnp
DTF,"Duff & Phelps Utilities Tax-Free Income, Inc.",14.19,$120.91M,1991,n/a,n/a,http://www.nasdaq.com/symbol/dtf
DUC,"Duff & Phelps Utility & Corporate Bond Trust, Inc.",9.14,$251.3M,1993,n/a,n/a,http://www.nasdaq.com/symbol/duc
DUK,Duke Energy Corporation,87.86,$61.5B,n/a,Public Utilities,Power Generation,http://www.nasdaq.com/symbol/duk
DUKH,Duke Energy Corporation,25.46,n/a,n/a,Public Utilities,Power Generation,http://www.nasdaq.com/symbol/dukh
DRE,Duke Realty Corporation,28.71,$10.22B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/dre
DLTH,Duluth Holdings Inc.,19.64,$637.49M,2015,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/dlth
DNB,Dun & Bradstreet Corporation (The),115.94,$4.28B,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/dnb
DNKN,"Dunkin&#39; Brands Group, Inc.",58.76,$5.3B,2011,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/dnkn
DRRX,DURECT Corporation,0.79,$116.13M,2000,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/drrx
DHG,"DWS High Income Opportunities Fund, Inc.",15.12,$229.54M,2006,n/a,n/a,http://www.nasdaq.com/symbol/dhg
DXC,DXC Technology Company,91.5,$26.05B,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/dxc
DXPE,"DXP Enterprises, Inc.",30.8,$535.97M,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/dxpe
DY,"Dycom Industries, Inc.",87.71,$2.73B,n/a,Basic Industries,Water Supply,http://www.nasdaq.com/symbol/dy
DLNG,Dynagas LNG Partners LP,13.15,$466.69M,n/a,Consumer Services,Marine Transportation,http://www.nasdaq.com/symbol/dlng
DLNG^A,Dynagas LNG Partners LP,26.95,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dlng^a
DYSL,Dynasil Corporation of America,1.31,$22.35M,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/dysl
DYNT,Dynatronics Corporation,2.4,$11.58M,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/dynt
DVAX,Dynavax Technologies Corporation,21,$1.27B,2004,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/dvax
DYN,Dynegy Inc.,12.34,$1.62B,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/dyn
DYN.WS.A,Dynegy Inc.,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dyn.ws.a
DYNC,Dynegy Inc.,82.15,n/a,2016,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/dync
DX,"Dynex Capital, Inc.",7.15,$352.02M,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/dx
DX^A,"Dynex Capital, Inc.",25.441,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dx^a
DX^B,"Dynex Capital, Inc.",24.8252,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dx^b
ETFC,E*TRADE Financial Corporation,43.54,$11.79B,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/etfc
DD^A,E.I. du Pont de Nemours and Company,90.4,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/dd^a
DD^B,E.I. du Pont de Nemours and Company,104.45,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/dd^b
ELF,"e.l.f. Beauty, Inc.",20.83,$960.27M,2016,Consumer Non-Durables,Package Goods/Cosmetics,http://www.nasdaq.com/symbol/elf
SSP,E.W. Scripps Company (The),17.06,$1.4B,n/a,Consumer Services,Broadcasting,http://www.nasdaq.com/symbol/ssp
EBMT,"Eagle Bancorp Montana, Inc.",19.7394,$98.71M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ebmt
EGBN,"Eagle Bancorp, Inc.",66.25,$2.26B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/egbn
EGLE,Eagle Bulk Shipping Inc.,4.48,$331.99M,n/a,Transportation,Marine Transportation,http://www.nasdaq.com/symbol/egle
GRF,"Eagle Capital Growth Fund, Inc.",8.2099,$29.47M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/grf
EFBI,"Eagle Financial Bancorp, Inc.",17.75,$28.63M,2017,Finance,Savings Institutions,http://www.nasdaq.com/symbol/efbi
EGIF,Eagle Growth and Income Opportunities Fund,16.58,$119.06M,2015,n/a,n/a,http://www.nasdaq.com/symbol/egif
EXP,Eagle Materials Inc,105.34,$5.12B,n/a,Capital Goods,Building Materials,http://www.nasdaq.com/symbol/exp
EGRX,"Eagle Pharmaceuticals, Inc.",53.58,$798.34M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/egrx
ECC           ,Eagle Point Credit Company Inc.,19.41,$355.3M,2014,n/a,n/a,http://www.nasdaq.com/symbol/ecc
ECCA,Eagle Point Credit Company Inc.,25.701,n/a,2015,n/a,n/a,http://www.nasdaq.com/symbol/ecca
ECCB,Eagle Point Credit Company Inc.,26.19,n/a,2016,n/a,n/a,http://www.nasdaq.com/symbol/eccb
ECCY,Eagle Point Credit Company Inc.,25.801,n/a,2017,n/a,n/a,http://www.nasdaq.com/symbol/eccy
ECCZ,Eagle Point Credit Company Inc.,25.3211,n/a,2015,n/a,n/a,http://www.nasdaq.com/symbol/eccz
IGLE,Eagleline Acquisition Corp.,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/igle
ESTE,"Earthstone Energy, Inc.",8.77,$557.42M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/este
EWBC,"East West Bancorp, Inc.",59.73,$8.63B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ewbc
EACQ,Easterly Acquisition Corp.,10.05,$208.14M,2015,Capital Goods,Building Products,http://www.nasdaq.com/symbol/eacq
EACQU,Easterly Acquisition Corp.,10.73,n/a,2015,Capital Goods,Building Products,http://www.nasdaq.com/symbol/eacqu
EACQW,Easterly Acquisition Corp.,0.8993,n/a,2015,Capital Goods,Building Products,http://www.nasdaq.com/symbol/eacqw
DEA,"Easterly Government Properties, Inc.",20.25,$788.31M,2015,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/dea
EML,Eastern Company (The),28.85,$180.59M,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/eml
EGP,"EastGroup Properties, Inc.",90.75,$3.12B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/egp
EMN,Eastman Chemical Company,90.98,$13.18B,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/emn
KODK,Eastman Kodak Company,5.15,$218.82M,n/a,Miscellaneous,Industrial Machinery/Components,http://www.nasdaq.com/symbol/kodk
KODK.WS,Eastman Kodak Company,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/kodk.ws
KODK.WS.A,Eastman Kodak Company,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/kodk.ws.a
ESDI,"Eastside Distilling, Inc.",4,$19.3M,n/a,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/esdi
ESDIW,"Eastside Distilling, Inc.",0.43,n/a,n/a,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/esdiw
ETN,"Eaton Corporation, PLC",81.51,$36.26B,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/etn
EVM,Eaton Vance California Municipal Bond Fund,11.85,$253.52M,2002,n/a,n/a,http://www.nasdaq.com/symbol/evm
EIA,Eaton Vance California Municipal Bond Fund II,11.91,$46.29M,2002,n/a,n/a,http://www.nasdaq.com/symbol/eia
CEV,Eaton Vance California Municipal Income Trust,12.22,$88.65M,1999,n/a,n/a,http://www.nasdaq.com/symbol/cev
ETV,Eaton Vance Corporation,15.14,$985.37M,2005,n/a,n/a,http://www.nasdaq.com/symbol/etv
ETW,Eaton Vance Corporation,11.86,$1.26B,2005,n/a,n/a,http://www.nasdaq.com/symbol/etw
EV,Eaton Vance Corporation,50.67,$5.91B,n/a,Finance,Investment Managers,http://www.nasdaq.com/symbol/ev
EOI,Eaton Vance Enhance Equity Income Fund,14.32,$560.96M,2004,n/a,n/a,http://www.nasdaq.com/symbol/eoi
EOS,Eaton Vance Enhanced Equity Income Fund II,15.12,$720.55M,2005,n/a,n/a,http://www.nasdaq.com/symbol/eos
EFT,Eaton Vance Floating Rate Income Trust,14.47,$576.83M,2004,n/a,n/a,http://www.nasdaq.com/symbol/eft
EFL,Eaton Vance Floating-Rate 2022 Target Term Trust,9.81,$206.01M,2017,n/a,n/a,http://www.nasdaq.com/symbol/efl
EFF,Eaton vance Floating-Rate Income Plus Fund,16.41,$124.82M,2013,n/a,n/a,http://www.nasdaq.com/symbol/eff
EHT,Eaton Vance High Income 2021 Target Term Trust,10.12,$217.18M,2016,n/a,n/a,http://www.nasdaq.com/symbol/eht
EVV,Eaton Vance Limited Duration Income Fund,14.04,$1.63B,2003,n/a,n/a,http://www.nasdaq.com/symbol/evv
MAB,Eaton Vance Massachusetts Municipal Bond Fund,13.496,$23.87M,2002,n/a,n/a,http://www.nasdaq.com/symbol/mab
MMV,Eaton Vance Massachusetts Municipal Income Trust,13.3406,$36.51M,1999,n/a,n/a,http://www.nasdaq.com/symbol/mmv
MIW,Eaton Vance Michigan Municipal Bond Fund,13.42,$20.13M,2002,n/a,n/a,http://www.nasdaq.com/symbol/miw
EMI,Eaton Vance Michigan Municipal Income Trust,12.98,$26.13M,1999,n/a,n/a,http://www.nasdaq.com/symbol/emi
EIM,Eaton Vance Municipal Bond Fund,12.55,$855.51M,2002,n/a,n/a,http://www.nasdaq.com/symbol/eim
EIV,Eaton Vance Municipal Bond Fund II,12.3,$123.16M,2002,n/a,n/a,http://www.nasdaq.com/symbol/eiv
ETX           ,Eaton Vance Municipal Income 2028 Term Trust,20.091,$217.66M,2013,n/a,n/a,http://www.nasdaq.com/symbol/etx
EOT,Eaton Vance Municipal Income Trust,21.97,$334.27M,2009,n/a,n/a,http://www.nasdaq.com/symbol/eot
EVN,Eaton Vance Municipal Income Trust,12.47,$296.57M,1999,n/a,n/a,http://www.nasdaq.com/symbol/evn
EMJ,Eaton Vance New Jersey Municipal Bond Fund,12.65,$32.63M,2002,n/a,n/a,http://www.nasdaq.com/symbol/emj
EVJ,Eaton Vance New Jersey Municipal Income Trust,11.94,$54.9M,1999,n/a,n/a,http://www.nasdaq.com/symbol/evj
ENX,Eaton Vance New York Municipal Bond Fund,12.78,$200.16M,2002,n/a,n/a,http://www.nasdaq.com/symbol/enx
NYH,Eaton Vance New York Municipal Bond Fund II,11.7,$29.91M,2002,n/a,n/a,http://www.nasdaq.com/symbol/nyh
EVY,Eaton Vance New York Municipal Income Trust,13.17,$72.12M,1999,n/a,n/a,http://www.nasdaq.com/symbol/evy
EVGBC,Eaton Vance NextShares Trust,99.8184,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/evgbc
EVSTC,Eaton Vance NextShares Trust,100.02,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/evstc
EVLMC,Eaton Vance NextShares Trust II,99.9005,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/evlmc
EIO,Eaton Vance Ohio Municipal Bond Fund,12.7801,$32.44M,2002,n/a,n/a,http://www.nasdaq.com/symbol/eio
EVO,Eaton Vance Ohio Municipal Income Trust,13.42,$38.34M,1999,n/a,n/a,http://www.nasdaq.com/symbol/evo
EIP,Eaton Vance Pennsylvania Municipal Bond Fund,12.59,$37.27M,2002,n/a,n/a,http://www.nasdaq.com/symbol/eip
EVP,Eaton Vance Pennsylvania Municipal Income Trust,11.9318,$31.03M,1999,n/a,n/a,http://www.nasdaq.com/symbol/evp
ETJ,Eaton Vance Risk-Managed Diversified Equity Income Fund,9.19,$585.1M,2007,n/a,n/a,http://www.nasdaq.com/symbol/etj
EFR,Eaton Vance Senior Floating-Rate Fund,14.54,$535.77M,2003,n/a,n/a,http://www.nasdaq.com/symbol/efr
EVF,Eaton Vance Senior Income Trust,6.54,$247.65M,1998,n/a,n/a,http://www.nasdaq.com/symbol/evf
EVG,Eaton Vance Short Diversified Income Fund,14.15,$253.01M,2005,n/a,n/a,http://www.nasdaq.com/symbol/evg
EVT,Eaton Vance Tax Advantaged Dividend Income Fund,22.46,$1.64B,2003,n/a,n/a,http://www.nasdaq.com/symbol/evt
ETO,Eaton Vance Tax-Advantage Global Dividend Opp,24.79,$360.21M,2004,n/a,n/a,http://www.nasdaq.com/symbol/eto
EXD,Eaton Vance Tax-Advantaged Bond,11.25,$109.48M,2010,n/a,n/a,http://www.nasdaq.com/symbol/exd
ETG,Eaton Vance Tax-Advantaged Global Dividend Income Fund,17.34,$1.32B,2004,n/a,n/a,http://www.nasdaq.com/symbol/etg
ETB,Eaton Vance Tax-Managed Buy-Write Income Fund,16.58,$413.26M,2005,n/a,n/a,http://www.nasdaq.com/symbol/etb
ETY,Eaton Vance Tax-Managed Diversified Equity Income Fund,11.63,$1.74B,2006,n/a,n/a,http://www.nasdaq.com/symbol/ety
EXG,Eaton Vance Tax-Managed Global Diversified Equity Income Fund,9.37,$2.82B,2007,n/a,n/a,http://www.nasdaq.com/symbol/exg
EBAY,eBay Inc.,37.54,$39.21B,1998,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/ebay
EBAYL,eBay Inc.,27,n/a,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/ebayl
EBIX,"Ebix, Inc.",67.55,$2.12B,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/ebix
ECT,ECA Marcellus Trust I,2.45,$43.13M,2010,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/ect
ELON,Echelon Corporation,4.74,$21.11M,1998,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/elon
ECHO,"Echo Global Logistics, Inc.",24.1,$672.57M,2009,Transportation,Oil Refining/Marketing,http://www.nasdaq.com/symbol/echo
SATS,EchoStar Corporation,53.95,$5.16B,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/sats
ECR,Eclipse Resources Corporation,2.27,$596.42M,2014,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/ecr
ECL,Ecolab Inc.,131.27,$37.99B,n/a,Basic Industries,Package Goods/Cosmetics,http://www.nasdaq.com/symbol/ecl
EEI,"Ecology and Environment, Inc.",11.75,$50.46M,1987,Consumer Services,Military/Government/Technical,http://www.nasdaq.com/symbol/eei
EC,Ecopetrol S.A.,11.39,$23.42B,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/ec
ESES,"Eco-Stim Energy Solutions, Inc.",1.41,$104.85M,n/a,Energy,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/eses
EDAP,EDAP TMS S.A.,3.02,$86.76M,1997,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/edap
EDGE,"Edge Therapeutics, Inc.",10.73,$331.04M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/edge
EDGW,"Edgewater Technology, Inc.",6.5,$90.61M,n/a,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/edgw
EIX,Edison International,79.08,$25.77B,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/eix
EDIT,"Editas Medicine, Inc.",23.37,$975.37M,2016,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/edit
EDR,Education Realty Trust Inc.,34.99,$2.65B,2005,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/edr
EDUC,Educational Development Corporation,12.45,$50.92M,n/a,Consumer Durables,Consumer Specialties,http://www.nasdaq.com/symbol/educ
EW,Edwards Lifesciences Corporation,101.82,$21.55B,n/a,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/ew
EGAN,eGain Corporation,3.4,$92.58M,1999,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/egan
EGLT,Egalet Corporation,0.939,$40.42M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/eglt
EHTH,"eHealth, Inc.",27.82,$515.65M,2006,Finance,Specialty Insurers,http://www.nasdaq.com/symbol/ehth
